date,daily_new_cases,cumulative_total_cases,cumulative_total_deaths,active_cases,daily_vaccinations,total_vaccinations
2020-12-02,410480.0,48707754.0,1241224.0,6737282.0,0.0,0.0
2020-12-03,444411.0,49152165.0,1250522.0,6737668.0,1.0,0.0
2020-12-04,432576.0,49584741.0,1259551.0,6742346.0,1.0,1.0
2020-12-05,409188.0,49993929.0,1267323.0,6731266.0,1.0,1.0
2020-12-06,348890.0,50342819.0,1273907.0,6716825.0,1.0,1.0
2020-12-07,307614.0,50650433.0,1280992.0,6639257.0,1.0,2.0
2020-12-08,375137.0,51025570.0,1289794.0,6572631.0,1.0,7.0
2020-12-09,409540.0,51435110.0,1298318.0,6541414.0,1.0,9.0
2020-12-10,440182.0,51875292.0,1307520.0,6544687.0,1.0,10.0
2020-12-11,435987.0,52311279.0,1316432.0,6577023.0,1.0,14.0
2020-12-12,404853.0,52716132.0,1324412.0,6593015.0,1.0,15.0
2020-12-13,338484.0,53054616.0,1331019.0,6604443.0,1.0,45635.0
2020-12-14,301742.0,53356358.0,1338470.0,6552025.0,4849.0,50488.0
2020-12-15,371471.0,53727829.0,1348071.0,6531903.0,27088.0,1627597.0
2020-12-16,435827.0,54163656.0,1357430.0,6529377.0,263331.0,1790055.0
2020-12-17,451164.0,54614820.0,1366749.0,6572530.0,315316.0,2069558.0
2020-12-18,429650.0,55044470.0,1375964.0,6634800.0,375520.0,2494642.0
2020-12-19,402196.0,55446666.0,1384034.0,6670612.0,375568.0,2680012.0
2020-12-20,335237.0,55781903.0,1390818.0,6684549.0,371979.0,2795481.0
2020-12-21,295765.0,56077668.0,1398452.0,6633620.0,436158.0,3215373.0
2020-12-22,369858.0,56447526.0,1407924.0,6591802.0,504018.0,3740628.0
2020-12-23,411999.0,56859525.0,1417344.0,6607816.0,584780.0,4429956.0
2020-12-24,426023.0,57285548.0,1425914.0,6634756.0,602632.0,4726281.0
2020-12-25,348038.0,57633586.0,1432808.0,6637519.0,553665.0,4785956.0
2020-12-26,262722.0,57896308.0,1438881.0,6575752.0,553346.0,4966723.0
2020-12-27,263614.0,58159922.0,1445444.0,6509017.0,574104.0,5221365.0
2020-12-28,262422.0,58422344.0,1453098.0,6427862.0,657034.0,6004620.0
2020-12-29,368534.0,58790878.0,1463462.0,6385532.0,754975.0,7006493.0
