country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,vaccines_vaccines,vaccinated_percent,tested_positive
Afghanistan,Asia,179267,7690.0,162202.0,9375.0,1124.0,4420,190.0,951337.0,23455.0,40560636,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",22964750.0,19151369.0,18370386.0,2729940.0,218908.0,55.84,46.56,44.67,6.64,5323.0,188998.0,0.46,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",56.61831831236571,18.843690511354023
Albania,Europe,275574,3497.0,271826.0,251.0,2.0,95954,1218.0,1817530.0,632857.0,2871945,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",3088966.0,1349255.0,1279333.0,402371.0,17565.0,108.68,47.47,45.01,14.16,6180.0,6816.0,0.24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",107.55658621596164,15.16200557900007
Algeria,Africa,265816,6875.0,178371.0,80570.0,6.0,5865,152.0,230861.0,5093.0,45325517,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",15267442.0,7840131.0,6481186.0,575651.0,256927.0,34.0,17.46,14.43,1.28,5722.0,105248.0,0.234,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",33.68398864595411,115.14114553779113
Andorra,Europe,42156,153.0,41021.0,982.0,14.0,543983,1974.0,249838.0,3223924.0,77495,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",157072.0,57913.0,53501.0,43071.0,1762.0,196.73,72.53,67.01,53.94,22068.0,854.0,1.07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",202.68662494354476,16.873333920380407
Angola,Africa,99194,1900.0,97149.0,145.0,,2853,55.0,1499795.0,43136.0,34769277,Oxford/AstraZeneca,27819132.0,16550642.0,9609080.0,3067091.0,183173.0,78.17,46.5,27.0,8.62,5147.0,147117.0,0.413,Oxford/AstraZeneca,80.01067149023548,6.613837224420671
Anguilla,North America,2984,9.0,2916.0,59.0,4.0,195646,590.0,51382.0,3368870.0,15252,"Oxford/AstraZeneca, Pfizer/BioNTech",24604.0,10854.0,10380.0,3309.0,331.0,154.97,68.36,65.38,20.84,20848.0,331.0,2.085,"Oxford/AstraZeneca, Pfizer/BioNTech",161.31654864935746,5.807481219103967
Antigua And Barbuda,North America,7721,137.0,7511.0,73.0,1.0,77646,1378.0,18901.0,190076.0,99439,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",136512.0,64290.0,62384.0,9838.0,1278.0,145.58,68.56,66.53,10.49,13629.0,895.0,0.954,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",137.28215287764357,40.84969049256653
Argentina,South America,9101319,128729.0,8895999.0,76591.0,372.0,197992,2800.0,35716069.0,776974.0,45968174,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",116978521.0,41529058.0,34900613.0,37713094.0,453344.0,257.04,91.25,76.69,82.87,9961.0,320974.0,0.705,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",254.47719763678234,25.48242081176403
Armenia,Asia,422896,8623.0,412048.0,2225.0,,142219,2900.0,3068217.0,1031834.0,2973558,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, Sputnik Light, Sputnik V",2256919.0,1150915.0,1030758.0,81354.0,17910.0,81.17,41.39,37.07,2.93,6441.0,14234.0,0.512,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, Sputnik Light, Sputnik V",75.89961251806758,13.783118990605944
Aruba,North America,35693,213.0,35199.0,281.0,,331689,1979.0,177885.0,1653053.0,107610,Pfizer/BioNTech,174914.0,90546.0,84368.0,0.0,2679.0,164.3,85.05,79.25,0.0,25165.0,1796.0,1.687,Pfizer/BioNTech,162.54437319951677,20.065210669814768
